system:index,RTENAME,RTENO,area,.geo
171,COOL CAMP,69010.0,14.68044684132965,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,DECEPTION,89905.0,16.57793504376534,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,DEER PARK,89077.0,17.67810228020832,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,DESCHUTES,69011.0,15.775668473529405,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,EIGHTMILE,69045.0,16.09897716171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,FISH LAKE,69062.0,16.088126743045336,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,FISH LAKE,69244.0,14.652195403998164,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,GREENOUGH,53905.0,13.4193647166207,"{""type"":""MultiPoint"",""coordinates"":[]}"
179,HASH ROCK,69112.0,16.61484036813725,"{""type"":""MultiPoint"",""coordinates"":[]}"
180,IRON GATE,14900.0,16.153061107996336,"{""type"":""MultiPoint"",""coordinates"":[]}"
181,JARBRIDGE,55037.0,16.33684262530638,"{""type"":""MultiPoint"",""coordinates"":[]}"
182,KALISPELL,53002.0,17.62014757567401,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,LIBBY DAM,53001.0,17.940429160462617,"{""type"":""MultiPoint"",""coordinates"":[]}"
184,LOLO PASS,33006.0,13.0295230291207,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,LONE ROCK,69004.0,16.547047473514098,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,MAGIC MTN,33025.0,15.95446085862437,"{""type"":""MultiPoint"",""coordinates"":[]}"
187,MONTESAND,89133.0,19.043173511764707,"{""type"":""MultiPoint"",""coordinates"":[]}"
188,MT. ADAMS,89080.0,15.592046134803919,"{""type"":""MultiPoint"",""coordinates"":[]}"
189,NEWBRIDGE,69215.0,27.60185282726717,"{""type"":""MultiPoint"",""coordinates"":[]}"
190,NIGHTHAWK,89050.0,19.421242862959556,"{""type"":""MultiPoint"",""coordinates"":[]}"
191,NORTHPORT,89071.0,20.474715840609672,"{""type"":""MultiPoint"",""coordinates"":[]}"
192,PENDLETON,69046.0,15.134939653967542,"{""type"":""MultiPoint"",""coordinates"":[]}"
193,POCATELLO,33027.0,17.4896262296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
194,SCAPPOOSE,69904.0,15.311446143321081,"{""type"":""MultiPoint"",""coordinates"":[]}"
195,SHEAVILLE,69249.0,23.967572268887864,"{""type"":""MultiPoint"",""coordinates"":[]}"
196,SHELLROCK,69003.0,15.513705443213858,"{""type"":""MultiPoint"",""coordinates"":[]}"
197,SNOWVILLE,85302.0,19.31247417424938,"{""type"":""MultiPoint"",""coordinates"":[]}"
198,SUMMIT PR,69136.0,17.469407394025744,"{""type"":""MultiPoint"",""coordinates"":[]}"
199,WAGONTIRE,69022.0,17.89035892460171,"{""type"":""MultiPoint"",""coordinates"":[]}"
200,WAITSBURG,89183.0,17.601556623238327,"{""type"":""MultiPoint"",""coordinates"":[]}"
201,BATTLE MTN,69063.0,16.721005338158697,"{""type"":""MultiPoint"",""coordinates"":[]}"
202,BEAVERHEAD,53046.0,15.554125805177698,"{""type"":""MultiPoint"",""coordinates"":[]}"
203,BLACK MTN.,69234.0,20.833777628722416,"{""type"":""MultiPoint"",""coordinates"":[]}"
204,BLUE RIVER,69210.0,15.736315146522674,"{""type"":""MultiPoint"",""coordinates"":[]}"
205,BRIDGEPORT,69015.0,19.027922511289812,"{""type"":""MultiPoint"",""coordinates"":[]}"
206,CATLOW RIM,69231.0,15.584047308547794,"{""type"":""MultiPoint"",""coordinates"":[]}"
207,CEDAR HILL,33225.0,16.232865368413034,"{""type"":""MultiPoint"",""coordinates"":[]}"
208,CLEARWATER,69051.0,15.553424549264705,"{""type"":""MultiPoint"",""coordinates"":[]}"
209,CLOVERLAND,89084.0,17.195450066590073,"{""type"":""MultiPoint"",""coordinates"":[]}"
210,COLTER BAY,92008.0,18.60054766392462,"{""type"":""MultiPoint"",""coordinates"":[]}"
211,DAYS CREEK,69026.0,19.142376550781258,"{""type"":""MultiPoint"",""coordinates"":[]}"
212,DESOLATION,69241.0,20.81722531190258,"{""type"":""MultiPoint"",""coordinates"":[]}"
213,DONNYBROOK,69239.0,25.76859697624081,"{""type"":""MultiPoint"",""coordinates"":[]}"
214,DOUGAL RES,33223.0,16.591683302267153,"{""type"":""MultiPoint"",""coordinates"":[]}"
215,ELLENSBURG,89044.0,15.776269247457117,"{""type"":""MultiPoint"",""coordinates"":[]}"
216,FISH CREEK,53075.0,18.434456129212613,"{""type"":""MultiPoint"",""coordinates"":[]}"
217,FLOOK LAKE,69254.0,17.6597933945925,"{""type"":""MultiPoint"",""coordinates"":[]}"
218,GREEN MTN.,69221.0,23.780926072089468,"{""type"":""MultiPoint"",""coordinates"":[]}"
219,HARRINGTON,89015.0,15.56441582483151,"{""type"":""MultiPoint"",""coordinates"":[]}"
220,HAZEL CAMP,69057.0,19.49627384246323,"{""type"":""MultiPoint"",""coordinates"":[]}"
221,HOT SPRING,33224.0,16.087499794730377,"{""type"":""MultiPoint"",""coordinates"":[]}"
222,LOGAN PASS,53900.0,18.98763234217218,"{""type"":""MultiPoint"",""coordinates"":[]}"
223,LOST RIVER,33902.0,18.00300239292279,"{""type"":""MultiPoint"",""coordinates"":[]}"
224,MOSES LAKE,89014.0,16.889884492539828,"{""type"":""MultiPoint"",""coordinates"":[]}"
225,MT RAINIER,89061.0,14.583040653109686,"{""type"":""MultiPoint"",""coordinates"":[]}"
226,OMAK CREEK,89069.0,17.568012714169747,"{""type"":""MultiPoint"",""coordinates"":[]}"
227,PABLO RES.,53074.0,16.16468355234376,"{""type"":""MultiPoint"",""coordinates"":[]}"
228,RILEY PEAK,69902.0,13.703813821139702,"{""type"":""MultiPoint"",""coordinates"":[]}"
229,SECRET VAL,69058.0,14.184706939016545,"{""type"":""MultiPoint"",""coordinates"":[]}"
230,SOUTH ELMA,89041.0,21.256250581801496,"{""type"":""MultiPoint"",""coordinates"":[]}"
231,TWIN LAKES,89031.0,14.557636551409306,"{""type"":""MultiPoint"",""coordinates"":[]}"
232,VASHON IS.,89907.0,15.31279337069546,"{""type"":""MultiPoint"",""coordinates"":[]}"
233,WARM BEACH,89003.0,17.107611755560637,"{""type"":""MultiPoint"",""coordinates"":[]}"
234,WEDDERBURN,69025.0,17.074762170098044,"{""type"":""MultiPoint"",""coordinates"":[]}"
235,WISE RIVER,53087.0,20.53217080370709,"{""type"":""MultiPoint"",""coordinates"":[]}"
236,ALVORD LAKE,69031.0,16.725410323223034,"{""type"":""MultiPoint"",""coordinates"":[]}"
237,BLACKFT RES,33128.0,15.722993256265315,"{""type"":""MultiPoint"",""coordinates"":[]}"
238,BUNKER HILL,89017.0,14.014574737775721,"{""type"":""MultiPoint"",""coordinates"":[]}"
239,CASCADE RIV,89902.0,14.548260769056364,"{""type"":""MultiPoint"",""coordinates"":[]}"
240,CEDAR FALLS,89054.0,15.777881112699141,"{""type"":""MultiPoint"",""coordinates"":[]}"
241,CENTERVILLE,33018.0,13.958155095863978,"{""type"":""MultiPoint"",""coordinates"":[]}"
242,CIRCULAR BU,33904.0,15.630235905637253,"{""type"":""MultiPoint"",""coordinates"":[]}"
243,CRANE CREEK,33211.0,15.571332591666671,"{""type"":""MultiPoint"",""coordinates"":[]}"
244,DANIELS RES,33227.0,15.96493089186582,"{""type"":""MultiPoint"",""coordinates"":[]}"
245,DAVIS CREEK,14165.0,15.824667555744488,"{""type"":""MultiPoint"",""coordinates"":[]}"
246,DELL SPRING,69020.0,17.85114947104779,"{""type"":""MultiPoint"",""coordinates"":[]}"
247,EAGLE CREEK,69235.0,24.84439978431373,"{""type"":""MultiPoint"",""coordinates"":[]}"
248,ECKLER MTN.,89147.0,16.081871147686886,"{""type"":""MultiPoint"",""coordinates"":[]}"
249,EMIGRANT LK,69059.0,15.467097491222427,"{""type"":""MultiPoint"",""coordinates"":[]}"
250,GRANGEVILLE,33007.0,15.079372433930768,"{""type"":""MultiPoint"",""coordinates"":[]}"
251,GREAT FALLS,53017.0,17.034473143213855,"{""type"":""MultiPoint"",""coordinates"":[]}"
252,HARNEY LAKE,69222.0,17.746736968244484,"{""type"":""MultiPoint"",""coordinates"":[]}"
253,HUMBOLDT NF,55902.0,22.650056170435064,"{""type"":""MultiPoint"",""coordinates"":[]}"
254,INSIDE ROAD,53800.0,15.921019586841291,"{""type"":""MultiPoint"",""coordinates"":[]}"
255,JOHNSON CAN,85102.0,16.1938340821538,"{""type"":""MultiPoint"",""coordinates"":[]}"
256,KYLE CANYON,33903.0,15.046218570389094,"{""type"":""MultiPoint"",""coordinates"":[]}"
257,LAKE CHELAN,89113.0,18.900389844944854,"{""type"":""MultiPoint"",""coordinates"":[]}"
258,LAPHAM RES.,69139.0,15.46589695131741,"{""type"":""MultiPoint"",""coordinates"":[]}"
259,LEAVENWORTH,89036.0,15.68775886871937,"{""type"":""MultiPoint"",""coordinates"":[]}"
260,MALHEUR NWR,69155.0,16.773469884834576,"{""type"":""MultiPoint"",""coordinates"":[]}"
261,MCMINNVILLE,69233.0,22.982358712576563,"{""type"":""MultiPoint"",""coordinates"":[]}"
262,MODOC POINT,69028.0,15.983860044071694,"{""type"":""MultiPoint"",""coordinates"":[]}"
263,NEZPERCE NF,33109.0,13.984585615563732,"{""type"":""MultiPoint"",""coordinates"":[]}"
264,NO CASCADES,89903.0,15.829423250965066,"{""type"":""MultiPoint"",""coordinates"":[]}"
265,QUARTZ MTN.,69224.0,25.730340077665474,"{""type"":""MultiPoint"",""coordinates"":[]}"
266,SAMS VALLEY,69127.0,19.017953510493257,"{""type"":""MultiPoint"",""coordinates"":[]}"
267,SANDY RIVER,69900.0,14.337156874188107,"{""type"":""MultiPoint"",""coordinates"":[]}"
268,SHELDON NWR,55903.0,17.126550593688727,"{""type"":""MultiPoint"",""coordinates"":[]}"
269,SILVER CITY,33217.0,13.355864783961383,"{""type"":""MultiPoint"",""coordinates"":[]}"
270,SPRING LAKE,89047.0,15.086648563449758,"{""type"":""MultiPoint"",""coordinates"":[]}"
271,SPRINGFIELD,33021.0,17.90680912693016,"{""type"":""MultiPoint"",""coordinates"":[]}"
272,SULLIVAN LK,89052.0,16.169154188465058,"{""type"":""MultiPoint"",""coordinates"":[]}"
273,THREE FORKS,69256.0,21.255344494745735,"{""type"":""MultiPoint"",""coordinates"":[]}"
274,TROUT CREEK,69255.0,17.148257039675247,"{""type"":""MultiPoint"",""coordinates"":[]}"
275,TWIN BUTTES,33901.0,16.614168383394603,"{""type"":""MultiPoint"",""coordinates"":[]}"
276,WALLA WALLA,89083.0,17.460871824693623,"{""type"":""MultiPoint"",""coordinates"":[]}"
277,WARNER MTN.,69219.0,14.824222310799643,"{""type"":""MultiPoint"",""coordinates"":[]}"
278,WHITE CHUCK,89048.0,17.084347264322915,"{""type"":""MultiPoint"",""coordinates"":[]}"
279,YELLOW PINE,33212.0,16.06462110358457,"{""type"":""MultiPoint"",""coordinates"":[]}"
280,ARID LAND ER,89901.0,17.82522324710478,"{""type"":""MultiPoint"",""coordinates"":[]}"
