"system:index","RTENAME","RTENO","date","meanHSI"
"0_00000000000000000c1a","BLACKS CREEK",33017,"1985-05-01",0.2599265653513644
"0_00000000000000000237","BLEWETT PASS",89055,"1985-05-01",0.22292314668774887
"0_000000000000000011aa","BLIZZARD GAP",69061,"1985-05-01",0.25896877229656867
"0_000000000000000011d5","BOWDEN HILLS",69232,"1985-05-01",0.24147192349960528
"0_00000000000000000336","BUCKSKIN MTN",92072,"1985-05-01",0.24063051338369537
"0_000000000000000011a3","CLOVER CREEK",69053,"1985-05-01",0.3225488231533611
"0_00000000000000000256","COLUMBIA NWR",89145,"1985-05-01",0.2370640965217436
"0_00000000000000000f3c","CRAMER CREEK",53903,"1985-05-01",0.21156892167207805
"0_000000000000000009f9","CRESCENT CTY",14004,"1985-05-01",0.4442999521798357
"0_000000000000000011e3","CROOKED RIV.",69246,"1985-05-01",0.3113161198778385
"0_00000000000000000ac1","CROWDER FLAT",14407,"1985-05-01",0.19694095461327665
"0_00000000000000000197","E. BEAR LAKE",85904,"1985-05-01",0.1812669747572668
"0_00000000000000000263","E. MT. ADAMS",89909,"1985-05-01",0.2524159068294945
"0_00000000000000000f3f","ELEVATION MT",53906,"1985-05-01",0.20302945629561417
"0_00000000000000001189","FANDANGO CAN",69021,"1985-05-01",0.3346475853138985
"0_00000000000000000c34","FEATHERVILLE",33218,"1985-05-01",0.27109077663856923
"0_0000000000000000025a","HANFORD SITE",89900,"1985-05-01",0.1240109006458458
"0_000000000000000011be","HELLS CANYON",69208,"1985-05-01",0.3173888441224553
"0_000000000000000011bc","HOWARD MDWS.",69206,"1985-05-01",0.20853932887609053
"0_00000000000000000235","HURRICANE RG",89053,"1985-05-01",0.2551100812998223
"0_00000000000000000c32","IRON SPRINGS",33214,"1985-05-01",0.2149018612957485
"0_000000000000000011d9","KLICKITAT MT",69236,"1985-05-01",0.3734430704756382
"0_00000000000000000262","L PEND O NWR",89908,"1985-05-01",0.343877349981742
"0_00000000000000000248","L. WENATCHEE",89074,"1985-05-01",0.2664548581413514
"0_00000000000000000199","LOGAN CANYON",85906,"1985-05-01",0.2539835835588823
"0_000000000000000011df","MALHEUR RES.",69242,"1985-05-01",0.39274088173739086
"0_00000000000000000c29","MARBLE CREEK",33202,"1985-05-01",0.2986575430718529
"0_00000000000000000249","MOSES COULEE",89075,"1985-05-01",0.2927031258104813
"0_0000000000000000119e","MOUNT VERNON",69048,"1985-05-01",0.24348589405819865
"0_0000000000000000023c","MT ST HELENS",89060,"1985-05-01",0.28455576388803644
"0_000000000000000011ce","MYRTLE GROVE",69225,"1985-05-01",0.2896995351204876
"0_00000000000000000c44","N FORK CDA R",33906,"1985-05-01",0.2388079860866357
"0_000000000000000011b3","NICOLAI MTN.",69142,"1985-05-01",0.3923712706301683
"0_00000000000000000f33","PAINTED ROCK",53086,"1985-05-01",0.2142336356168201
"0_00000000000000000c27","PASADENA VAL",33124,"1985-05-01",0.2508523989643191
"0_000000000000000011d2","PICTURE FLAT",69229,"1985-05-01",0.20013797796085803
"0_00000000000000000207","PORT ANGELES",89002,"1985-05-01",0.5878678459262101
"0_00000000000000000f71","RANCHOGRANDE",55006,"1985-05-01",0.13072042757750027
"0_00000000000000000c45","ROCHAT DIVDE",33907,"1985-05-01",0.31211299009302484
"0_00000000000000000c2c","SALMON RIVER",33207,"1985-05-01",0.21919616528269711
"0_00000000000000000c26","SAWTOOTH CTY",33119,"1985-05-01",0.23844200630127932
"0_000000000000000011a4","SILVER CREEK",69054,"1985-05-01",0.19169374230446443
"0_00000000000000000241","SUIATTLE RIV",89067,"1985-05-01",0.38921811151515895
"0_00000000000000000f2e","THOMPSON RIV",53063,"1985-05-01",0.22347530477355151
"0_00000000000000000f3b","THREEMILE WA",53902,"1985-05-01",0.24205852795732133
"0_00000000000000000c43","TRACTOR FLAT",33905,"1985-05-01",0.15424708539115584
"0_000000000000000011b7","TRASK SUMMIT",69201,"1985-05-01",0.2978511694019128
"0_00000000000000000260","TURNBULL NWR",89906,"1985-05-01",0.651085361183719
"0_00000000000000000f96","VIRGIN CREEK",55907,"1985-05-01",0.21972044730660031
"0_000000000000000011d3","WARNER VALLY",69230,"1985-05-01",0.3077999897712234
"0_000000000000000011d0","WHISKEY SPG.",69227,"1985-05-01",0.21487658048262964
"0_00000000000000000f24","WILLOW CREEK",53038,"1985-05-01",0.28309008030493527
"0_000000000000000011b4","WIZARD FALLS",69147,"1985-05-01",0.18856255927594556
"0_0000000000000000017d","GOOSE CREEK MTN.",85301,"1985-05-01",0.15508828690428889
"0_00000000000000000392","HYDER",NA,"1985-05-01",0.3745105850141329
"0_000000000000000003c9","SITKA",NA,"1985-05-01",0.440101181937483
"0_0000000000000000038b","HAINES",NA,"1985-05-01",0.4173519096549465
"0_00000000000000000390","HOONAH",NA,"1985-05-01",0.5113435625821893
"0_00000000000000000393","JUNEAU",NA,"1985-05-01",0.444828236512549
"0_000000000000000003ca","SKAGWAY",NA,"1985-05-01",0.3907153571151018
"0_000000000000000003df","YAKUTAT",NA,"1985-05-01",0.4366255322141706
"0_000000000000000003e0","ZAREMBO",NA,"1985-05-01",0.3764021960180561
"0_0000000000000000039d","KETCHIKAN",NA,"1985-05-01",0.5154626354859366
"0_00000000000000000513","11-171 ???",NA,"1985-05-01",0.5987622386974564
"0_00000000000000000394","JUNEAU ALT",NA,"1985-05-01",0.40350783846419985
"0_000000000000000003bc","PETERSBURG",NA,"1985-05-01",0.4118473797866926
"0_0000000000000000051c","11-204 WASA",NA,"1985-05-01",0.33127428905704936
"0_000000000000000003a5","KUIU ISLAND",NA,"1985-05-01",0.4598696115217212
"0_000000000000000003af","MITKOF ISLE",NA,"1985-05-01",0.3747579051821808
